年龄段	年龄下限	年龄上限	总人口数_男	总人口数_女	死亡人数_男	死亡人数_女	死亡率_男	死亡率_女
0岁	0	0	7461199	6325235	32026	28191	0.43%	0.45%
1-4岁	1	4	33601367	28144809	23119	16472	0.07%	0.06%
5-9岁	5	9	38464665	32416884	13621	7562	0.04%	0.02%
10-14岁	10	14	40267277	34641185	15243	7845	0.04%	0.02%
15-19岁	15	19	51904830	47984284	28088	12381	0.05%	0.03%
20-24岁	20	24	64008573	63403945	43738	18814	0.07%	0.03%
25-29岁	25	29	50837038	50176814	42497	18164	0.08%	0.04%
30-34岁	30	34	49521822	47616381	55804	24156	0.11%	0.05%
35-39岁	35	39	60391104	57634855	98382	42149	0.16%	0.07%
40-44岁	40	44	63608678	61145286	149111	67242	0.23%	0.11%
45-49岁	45	49	53776418	51818135	179446	83085	0.33%	0.16%
50-54岁	50	54	40363234	38389937	226888	110509	0.56%	0.29%
55-59岁	55	59	41082938	40229536	324817	169522	0.79%	0.42%
60-64岁	60	64	29834426	28832856	377069	209091	1.26%	0.73%
65-69岁	65	69	20748471	20364811	435007	260655	2.10%	1.28%
70-74岁	70	74	16403453	16568944	599394	400259	3.65%	2.42%
75-79岁	75	79	11278859	12573274	657140	505554	5.83%	4.02%
80-84岁	80	84	5917502	7455696	553704	528000	9.36%	7.08%
85-89岁	85	89	2199810	3432118	306678	379784	13.94%	11.07%
90-94岁	90	94	530872	1047435	104048	175521	19.60%	16.76%
95-99岁	95	99	117716	252263	23292	51437	19.79%	20.39%
100岁及以上	100	NA	8852	27082	4671	11814	52.77%	43.62%
